N ,P,K,SHumidity,STempearture,AHumidity,ATempearture,PH,Rainfall,Label
2.352155,61.912491,26.621939,13.773792,23.299149,33.674011,25.846432,6.31992,38.87788,lentil
4.034083,63.169399,25.658308,12.879667,18.945236,36.30196,21.833015,6.056361,35.867218,lentil
1.286333,69.537064,40.521542,12.500337,23.249777,38.154663,20.756706,6.234122,37.370132,lentil
2.99075,74.670319,27.853661,13.922042,28.159386,39.212418,18.142162,6.432448,35.836983,lentil
6.314548,61.542992,25.473543,13.930999,28.078236,31.220261,27.044838,6.008839,38.311478,lentil
2.518326,75.276779,35.527168,13.746308,18.438072,31.014791,28.281158,6.162833,37.970726,lentil
6.737244,68.048485,48.208794,12.783663,27.328352,31.132521,19.790785,6.250231,36.629807,lentil
3.184357,66.474213,49.684471,13.750096,19.971462,31.876524,21.697943,6.424789,38.792469,lentil
2.936168,65.896477,49.109966,13.301466,19.655624,31.869583,18.877867,6.225073,36.961262,lentil
3.245401,60.842545,27.142519,12.406118,28.945732,31.819328,20.019432,6.410428,39.695328,lentil
7.100861,77.795815,42.790573,12.408466,26.797752,30.809765,18.426178,6.067579,37.493454,lentil
3.730868,61.239079,29.588093,12.935532,25.012697,38.109531,23.815901,6.257662,39.574852,lentil
8.204504,76.055725,39.36573,12.813039,23.520163,31.438007,28.092724,6.044916,39.490696,lentil
2.916446,67.95446,28.909006,13.049038,29.134468,38.359612,25.924961,6.41488,35.429752,lentil
7.86695,72.115501,31.092361,13.394232,26.394915,39.222317,20.49024,6.240304,38.840759,lentil
2.900921,60.896317,32.946312,13.70714,23.731136,34.363342,27.230087,6.408353,38.87376,lentil
8.26792,62.100975,37.264191,13.651952,28.18545,30.312811,19.063469,6.232675,35.343914,lentil
8.19374,63.406445,30.865622,13.807425,21.432245,30.677677,26.070099,6.479108,39.78503,lentil
8.446222,68.887527,39.894123,12.804857,21.714365,38.94173,25.71426,6.108703,39.786854,lentil
6.460769,78.366867,25.361145,13.306581,27.103905,33.559662,24.072691,6.014286,35.72374,lentil
9.285106,65.55616,47.160442,13.124885,21.37388,38.415955,21.905184,6.455985,35.281162,lentil
1.398179,71.756027,45.218887,13.667748,28.118343,36.206436,24.353258,6.396508,39.657433,lentil
4.694027,78.384659,25.763081,13.212974,28.440517,37.573345,24.438717,6.49089,35.425373,lentil
3.548594,63.82819,40.286804,12.232147,27.57295,36.327316,26.329733,6.245543,36.467415,lentil
3.186622,69.339943,30.060564,12.280773,18.701584,33.860691,18.109585,6.048574,39.418732,lentil
8.164731,70.009743,42.864868,12.158743,29.062527,31.707701,22.40324,6.023619,38.210167,lentil
5.785518,77.472824,33.865112,12.424853,26.559326,39.519699,20.806618,6.490191,37.212719,lentil
1.982664,72.169983,30.852154,13.519808,20.027332,34.737736,23.158537,6.441144,38.839672,lentil
3.600214,61.98288,39.532719,12.305788,22.26079,32.695927,19.063114,6.20884,38.480717,lentil
5.846338,75.98719,46.93055,13.465242,20.66028,30.440351,22.514515,6.377123,35.038528,lentil
0.807388,69.977859,36.266426,12.902693,23.240553,38.382843,27.058176,6.11013,35.027733,lentil
5.952369,63.89537,41.154655,12.07958,27.55994,36.369938,26.909546,6.02876,37.358597,lentil
9.880421,79.156586,47.588856,12.34491,21.605516,36.74231,26.34753,6.433484,35.90575,lentil
2.093721,79.514923,26.787968,13.403029,28.49033,36.537506,18.814882,6.344253,37.397869,lentil
8.943119,78.565689,44.008316,12.001622,25.719326,35.582355,27.051708,6.461208,38.19558,lentil
6.194969,60.699577,48.062401,12.275908,19.68375,37.96257,24.392368,6.442323,39.217224,lentil
4.612048,74.791702,37.31514,13.149338,28.928402,37.552296,18.096041,6.007085,35.368595,lentil
5.680363,66.614174,42.21711,12.785285,23.047678,36.714878,28.842491,6.21144,39.825386,lentil
9.379326,67.17379,47.746868,12.026005,21.655212,39.839096,28.090309,6.367113,38.009693,lentil
7.548215,60.688187,36.425106,12.450805,18.584026,39.421879,18.973907,6.232158,37.329857,lentil
8.925764,67.456718,44.359634,13.191402,21.99341,38.534206,19.861923,6.121868,39.52071,lentil
6.480186,64.969604,40.537445,12.434471,18.452965,30.648861,28.516487,6.434691,35.503147,lentil
1.279083,61.927265,41.013199,13.386335,25.596725,37.53141,24.789808,6.48982,36.904713,lentil
7.130268,63.512444,33.725361,12.004441,27.513573,39.972214,18.954647,6.166784,39.011406,lentil
9.396632,72.924057,44.446449,13.483509,29.587433,39.008472,25.441448,6.349571,35.932899,lentil
9.146033,74.042763,47.10556,12.780567,21.99164,36.753731,27.280048,6.230125,35.745472,lentil
0.031189,64.40876,41.671673,13.711581,21.244707,34.335556,28.184732,6.075137,37.885162,lentil
7.664552,75.025032,31.710642,13.135461,27.772882,39.321281,26.504917,6.082246,36.276814,lentil
7.339774,77.449211,27.97118,12.587993,25.423885,37.431408,24.350147,6.209233,35.530506,lentil
8.477411,73.296288,31.565796,12.516439,24.959072,33.277287,24.898991,6.183841,37.672016,lentil
4.125321,73.391907,32.071785,12.442042,24.876787,32.880943,21.577608,6.096532,37.000557,lentil
6.624879,63.005367,25.131622,13.712877,28.797766,35.847363,28.255329,6.165218,35.811665,lentil
9.87559,65.052322,26.784683,12.184188,23.077417,39.483723,20.252249,6.080348,37.329449,lentil
8.819348,71.776566,32.834869,13.655016,23.317307,30.454292,28.016327,6.087422,37.42593,lentil
0.173473,66.833557,40.418427,13.945024,26.370716,32.174679,25.585064,6.410761,37.279083,lentil
3.062212,74.392265,31.845247,12.46496,23.779001,33.344414,20.361834,6.128922,36.74818,lentil
6.984079,61.786308,25.699736,13.813759,22.379833,32.161995,21.419567,6.111041,35.636093,lentil
5.958991,64.306381,49.283539,12.369878,22.93004,31.694382,28.391682,6.400953,39.491798,lentil
5.044876,66.562241,37.697399,13.984768,25.806334,38.08215,25.52037,6.070066,35.587852,lentil
0.584293,63.769184,40.232452,12.119547,26.640623,34.8579,22.482681,6.319881,39.11681,lentil
1.805329,60.293571,46.214088,13.835119,25.590321,36.464989,21.906197,6.278076,39.530327,lentil
5.852264,76.5401,48.963825,12.887461,19.046886,31.227859,23.578545,6.180197,35.615585,lentil
6.536662,67.664551,31.38711,12.199127,24.200562,38.877045,20.392225,6.348641,36.475407,lentil
1.685749,79.450157,43.80294,12.18003,29.195837,33.002495,19.253727,6.21156,35.436077,lentil
7.945986,76.055023,25.751791,12.29049,29.537216,36.810215,24.393427,6.024449,38.013454,lentil
5.479781,66.23024,25.395428,12.200749,19.919889,36.839615,18.443932,6.309849,39.670982,lentil
7.880718,60.149734,41.865341,12.455938,18.879587,30.554792,25.646095,6.153883,39.653301,lentil
2.558033,70.846725,38.066929,13.439828,28.46562,33.525093,24.489468,6.031535,38.38205,lentil
1.160144,72.844414,42.612541,12.986034,24.967567,36.678711,18.286423,6.021289,39.496368,lentil
7.260044,67.323524,39.612209,12.481943,22.5348,39.976673,24.736404,6.020996,37.662994,lentil
0.106249,71.534912,49.492035,13.890633,29.049646,32.059299,25.463375,6.263693,35.71191,lentil
0.085908,60.301128,36.972172,12.177437,28.960978,37.327572,20.148348,6.143157,39.017078,lentil
3.74023,72.293129,30.149652,12.916414,22.987762,37.508083,24.252892,6.455688,38.166142,lentil
1.385332,73.462181,40.505234,13.276968,24.646372,32.031513,21.253183,6.253513,37.616623,lentil
7.216175,63.813576,45.697533,12.181878,26.474548,36.33604,21.102995,6.30994,38.028484,lentil
3.136862,65.217186,49.596104,12.399922,22.575197,34.261814,20.69434,6.305259,39.099041,lentil
0.531366,67.504944,37.61079,12.057536,28.638012,36.367069,19.533232,6.483638,38.362095,lentil
7.247365,68.222336,37.369205,13.893459,29.719257,35.657326,20.287727,6.385077,35.913647,lentil
0.801414,60.242222,31.306746,13.535383,20.34808,31.693222,18.199257,6.387505,35.375854,lentil
7.87114,64.954155,40.58197,12.645529,24.061897,39.644356,25.883377,6.192872,38.892601,lentil
5.724776,61.518627,43.935001,12.409899,24.678329,38.538269,27.18672,6.068918,38.585667,lentil
4.926735,73.634125,38.378532,13.977427,27.224867,37.540585,21.776865,6.484037,37.376411,lentil
4.496019,67.959518,40.713593,12.358406,22.859661,39.128078,25.138708,6.35809,39.704269,lentil
5.600366,66.570946,45.719681,12.594086,29.755745,38.992561,18.438969,6.149267,35.915115,lentil
3.746083,65.41069,46.213402,13.632442,20.542173,39.715263,20.79319,6.071459,39.802341,lentil
4.669492,74.793076,31.132017,12.30343,19.230377,32.472492,21.72377,6.268851,36.983349,lentil
8.662579,60.963211,27.56493,13.059047,23.534748,31.154554,20.800802,6.278189,37.663296,lentil
0.730163,67.196991,46.913139,13.4462,24.922007,31.409645,24.212757,6.182501,35.438435,lentil
0.628484,79.099457,30.415558,12.673307,24.160418,30.554642,21.115452,6.169804,36.475151,lentil
3.707454,67.525452,40.262329,13.043815,19.34108,36.012474,28.321173,6.348256,38.251148,lentil
1.314456,70.966179,37.145592,13.565748,21.56263,33.544376,28.695438,6.002381,39.555244,lentil
2.433812,79.393028,26.629644,12.508427,19.75074,37.01963,25.021648,6.44788,36.005478,lentil
9.559718,64.065552,39.226154,13.931275,20.387966,37.240334,22.899719,6.028453,38.866737,lentil
7.851117,78.630737,43.5327,13.764875,27.763191,32.421417,20.087664,6.351022,36.030651,lentil
4.119562,78.843185,45.432587,12.688457,18.946577,30.022125,26.275375,6.159441,36.441555,lentil
7.505704,60.120579,39.977947,12.221766,19.925184,34.050549,18.293146,6.052902,36.880192,lentil
3.330899,64.86097,43.928131,13.965625,29.683083,39.261032,20.531597,6.160872,35.701637,lentil
2.00028,78.99292,37.297928,13.144395,19.826164,30.576916,22.921469,6.313324,36.09486,lentil
0.063738,70.967308,28.044876,13.661594,18.390804,37.575642,24.782614,6.084437,35.262241,lentil
4.491042,77.705383,36.540668,12.951658,24.65065,35.939743,20.81802,6.18216,35.198006,lentil
9.260324,66.316444,26.910137,13.626338,24.360962,30.553589,18.657873,6.33432,38.757854,lentil
0.169987,62.502224,27.536909,13.552227,29.440451,39.634941,21.245989,6.34813,35.974152,lentil
4.57695,78.006516,48.51284,13.129095,23.611626,33.267311,22.966368,6.325316,39.215084,lentil
3.000553,78.609573,32.059792,12.542752,29.348726,38.061672,24.910765,6.290007,36.923996,lentil
1.555319,75.964401,43.042141,12.829195,24.086823,31.666452,24.499172,6.101644,38.590775,lentil
1.793125,61.820087,44.210373,13.310973,20.086174,39.603355,26.069363,6.135257,37.243565,lentil
6.137415,63.826759,31.655895,12.942675,21.923923,32.323486,27.605103,6.095266,36.023037,lentil
2.086685,63.469345,30.652931,12.886731,22.724834,38.033524,26.032406,6.085282,36.952873,lentil
9.040489,70.042419,31.579575,13.204433,19.805431,35.260677,28.35709,6.020335,38.157211,lentil
6.938829,64.068985,37.962639,12.478058,24.272003,34.016708,27.804359,6.48277,36.398895,lentil
9.957825,68.4235,46.234901,13.532259,28.78673,37.677879,22.915783,6.278153,35.845474,lentil
4.765265,71.56105,25.514576,13.614331,26.483761,33.798946,26.543808,6.089253,36.742878,lentil
1.865564,77.70311,26.341173,12.455484,21.49687,31.557291,20.581226,6.466808,38.775307,lentil
4.453845,76.383018,36.94849,13.890665,21.646391,36.805954,19.054491,6.136243,35.54974,lentil
0.365631,78.131996,46.234261,12.208418,26.239506,32.791508,26.982777,6.23852,37.657993,lentil
5.611648,63.113796,47.554573,12.087926,24.039043,31.272554,23.374416,6.038267,38.577648,lentil
9.123337,71.176094,43.080505,12.194095,22.876768,39.27845,22.778261,6.405095,37.533092,lentil
9.02821,79.095207,48.799187,13.267464,19.774254,42.27845,18.783581,6.016708,35.321289,lentil
47.152409,9.573317,172,77.628418,26.8,68.929161,21.6,6.467557,65.635201,Tomatoes
40.803627,17.485966,197,71.577156,25.7,72.508698,25.5,6.605679,127.545929,Tomatoes
48.760448,16.856113,191,73.158203,25.9,71.096268,25.4,6.100944,112.693497,Tomatoes
30.114811,9.235849,161,79.432037,25,75.743164,21.9,6.172358,111.72435,Tomatoes
50.182854,17.565533,154,79.33255,26.7,84.549835,26.2,6.067835,85.730553,Tomatoes
79.447899,8.670256,207,76.469521,27.3,76.939301,23.9,6.184826,92.310844,Tomatoes
37.382683,13.88011,209,73.308304,24.6,73.93145,21.5,6.372611,126.426033,Tomatoes
98.497162,13.010213,210,72.47226,27.2,82.702385,23.7,6.43192,146.321503,Tomatoes
82.930618,12.839527,186,73.670891,25.6,68.379082,25.5,6.348916,123.879433,Tomatoes
77.738663,13.903315,245,73.860001,25,79.937744,26.6,6.296798,110.722977,Tomatoes
72.489868,12.348414,211,74.664856,24,84.842728,26.9,6.002745,142.410156,Tomatoes
98.711815,15.613428,200,70.117294,26.3,74.847946,23.5,6.730551,125.903702,Tomatoes
73.457764,9.936381,245,79.097206,25,78.142548,21.7,6.054046,89.331154,Tomatoes
99.945107,10.287765,185,79.328049,25.6,82.393814,25.3,6.37496,125.42424,Tomatoes
35.169693,16.025457,167,77.875488,26.8,84.351517,23.6,6.370118,149.560883,Tomatoes
74.028915,8.387062,178,71.030556,24.3,84.058853,24.9,6.07515,119.224571,Tomatoes
98.929085,9.575903,245,72.779572,25.5,80.965874,23,6.043101,74.88765,Tomatoes
56.639107,9.598848,213,78.772858,25.7,84.527893,21.9,6.126028,108.568878,Tomatoes
49.376434,9.676054,225,73.629684,25.6,81.113892,25.7,6.487307,101.952164,Tomatoes
69.123566,16.665827,161,71.382881,24.8,77.038254,24.2,6.038563,137.698914,Tomatoes
77.193832,9.78218,248,74.521584,27.6,65.097527,21.2,6.100229,71.05278,Tomatoes
69.554794,16.650738,169,77.731354,25.5,72.030472,26.8,6.515134,105.245407,Tomatoes
53.061684,8.57887,227,71.744766,24.9,69.314735,21.8,6.339769,120.210388,Tomatoes
66.638672,13.48361,195,77.244621,26.2,80.873253,24.6,6.174051,94.13269,Tomatoes
76.960236,14.335461,151,72.241959,27.9,72.319992,23.9,6.790525,109.008347,Tomatoes
57.885597,10.366872,201,71.433365,24.6,66.064079,23,6.7991,133.321426,Tomatoes
46.651764,10.477583,217,71.683975,25.6,77.425636,25.4,6.088973,99.267624,Tomatoes
89.547348,9.851085,179,72.220505,26.5,69.128716,21.1,6.272441,66.433762,Tomatoes
61.889778,8.972322,223,72.58593,24.9,78.936234,24.4,6.536154,136.518494,Tomatoes
42.312691,11.27249,180,72.014618,27.3,71.981949,26.5,6.466554,92.231598,Tomatoes
46.683781,16.425705,196,79.040169,24.9,82.272354,23.9,6.542538,95.692017,Tomatoes
84.042191,10.545639,245,70.214348,27.7,82.865402,25,6.203711,137.153687,Tomatoes
58.116318,10.758453,227,73.591766,25,79.490646,24.9,6.272233,69.777519,Tomatoes
70.444229,15.281817,237,72.198364,26.8,68.368622,22.4,6.643481,143.385529,Tomatoes
89.156998,11.781488,156,79.646385,24.7,73.608566,26,6.376069,98.878036,Tomatoes
83.299164,10.323985,231,72.924316,27.6,79.040482,24.2,6.340068,90.50808,Tomatoes
49.892128,15.952072,193,78.667892,26.1,80.307922,25.2,6.028307,85.696365,Tomatoes
26.539684,17.661598,214,72.954681,25.3,82.540016,26.5,6.74868,75.30407,Tomatoes
81.796326,15.334198,190,75.396576,26.8,76.742874,26.9,6.771987,86.829582,Tomatoes
32.822754,10.791599,229,72.338776,27.7,83.687004,23.7,6.377223,144.57579,Tomatoes
79.278351,13.564913,210,76.814682,26.2,77.47776,26.1,6.245478,121.027046,Tomatoes
54.286198,9.682612,151,70.061424,26.8,76.585602,26.7,6.774732,79.239738,Tomatoes
31.534569,8.405027,179,72.45607,26,73.53495,26.1,6.307774,120.479492,Tomatoes
52.736122,15.501293,205,75.911888,27.2,70.620308,26.8,6.299524,145.3582,Tomatoes
54.231308,11.970377,186,79.389481,24.4,73.979408,25,6.349691,139.663971,Tomatoes
41.704266,16.430485,196,70.331566,24.8,72.886467,22.8,6.677892,120.040367,Tomatoes
26.765036,15.888355,233,76.942444,27.6,69.679153,24.7,6.374674,114.582779,Tomatoes
53.160393,13.54628,181,72.169044,25.9,69.945282,21,6.392792,149.55162,Tomatoes
73.343369,8.029333,159,79.104424,26.5,72.41436,23.7,6.003919,78.609245,Tomatoes
51.141468,17.564411,208,70.572128,25.1,65.793053,23.4,6.061981,66.534943,Tomatoes
97.283958,12.212106,191,73.551926,26.7,81.983536,24.2,6.431355,137.250519,Tomatoes
50.537201,9.811513,158,73.626007,26.2,72.511887,23.9,6.104148,84.662025,Tomatoes
95.696266,16.215149,227,78.303482,26.6,72.823524,23.1,6.577116,106.78035,Tomatoes
50.345634,12.790976,169,75.296692,27.7,66.298271,25,6.771124,107.460915,Tomatoes
92.175865,15.295123,202,70.870628,24.3,68.385147,21.5,6.278199,113.794708,Tomatoes
72.656502,12.55061,228,70.545441,26.5,80.143517,26,6.56764,65.788689,Tomatoes
83.231232,15.157847,220,76.730057,24.3,67.36235,21,6.770224,90.782341,Tomatoes
38.827629,17.772707,169,72.554604,25.9,80.810783,25.9,6.367171,148.062347,Tomatoes
62.203857,14.401693,157,72.765938,25,84.272232,26.1,6.040081,67.22245,Tomatoes
45.121017,16.130169,192,79.315987,25.2,81.298584,24.5,6.506378,77.300835,Tomatoes
56.14032,11.045197,199,74.569214,25.2,67.792732,25.3,6.033725,90.29393,Tomatoes
83.887634,12.827398,203,71.806107,25.9,81.544586,23.1,6.582619,97.914459,Tomatoes
29.163204,8.675809,187,79.530334,24.9,79.163986,22.5,6.710089,149.454529,Tomatoes
89.256638,13.80365,176,78.160988,26.1,82.283379,23.3,6.305957,95.071449,Tomatoes
54.331867,10.109216,189,74.004471,24.7,84.913208,24.4,6.4261,91.29998,Tomatoes
93.320206,12.457298,193,79.176712,25.6,67.77256,21.5,6.286158,98.332565,Tomatoes
72.555809,16.127636,157,71.085304,25.7,76.323868,26.5,6.646025,120.579529,Tomatoes
79.223999,8.061289,233,72.672363,26.8,80.22113,22.7,6.454407,111.996346,Tomatoes
94.859894,12.118896,157,72.131401,26.9,65.312576,21,6.234837,108.636627,Tomatoes
54.352135,13.461833,197,76.481873,24.5,68.066734,26.4,6.618012,142.409119,Tomatoes
87.046753,10.852888,212,75.011139,26.5,78.908134,25.3,6.03163,106.572136,Tomatoes
74.138245,17.683807,217,78.946083,25.1,77.790337,26.2,6.480315,79.663681,Tomatoes
83.638336,15.144445,199,76.543304,27.3,79.652336,26.1,6.592744,71.648849,Tomatoes
93.581314,11.257915,241,77.467209,24.5,67.443085,24.5,6.339404,77.051628,Tomatoes
26.874361,15.185102,172,74.857971,24.4,83.410645,26,6.779839,75.021881,Tomatoes
37.86964,9.114822,235,75.932777,27.7,68.631744,24.1,6.142435,146.312836,Tomatoes
35.285583,9.688399,187,77.798775,25.3,75.329552,26.3,6.217296,132.091995,Tomatoes
28.639397,13.073458,155,71.800415,27.9,68.089806,23.7,6.354512,124.604645,Tomatoes
66.030029,14.661101,165,78.101822,25.6,73.577026,24.2,6.535227,145.864441,Tomatoes
83.628952,9.717733,196,76.903198,27.8,82.743912,23,6.221215,145.701233,Tomatoes
54.780865,12.637868,213,72.372551,25.1,68.882858,26.1,6.416493,126.139587,Tomatoes
63.313984,8.873207,207,71.653748,24.3,70.560562,21.4,6.166582,133.114975,Tomatoes
34.166153,11.529246,204,70.529205,26,70.255806,25.9,6.325363,80.363266,Tomatoes
50.477131,10.853016,190,70.676033,27.7,76.706383,22.2,6.193609,82.919937,Tomatoes
88.659622,13.664184,225,76.950439,24,71.858833,25.4,6.137706,90.575882,Tomatoes
26.342016,8.824369,156,71.399826,26.3,73.640945,26.4,6.603561,129.157974,Tomatoes
98.133636,15.403625,168,71.221466,26.1,71.849899,21.2,6.76125,83.708633,Tomatoes
71.890854,10.822031,195,73.680496,24.3,74.221184,25.4,6.10793,116.358231,Tomatoes
40.169643,8.597076,175,73.95443,24.2,69.451729,25.3,6.170732,127.220314,Tomatoes
60.33749,11.805319,175,73.987411,27.2,71.122131,26.3,6.00133,85.931076,Tomatoes
